Issue Year,"Issue Mnth
NBR","Ticket
Number","Tick Issue
Date","Tick Issue
Time",Agency,Badge #,"Tick Vehicle
Type","Tick Veh
Model","Rp Plate
Expire Date",Violation Code,Violation,Tick Meter,Tick Street Name,"Tick Total
Paid","Total Amt
Paid","Rp Total Amt
Due"
2018,1,8600006907,01/01/2018,13:15,,77,,,,22500E,BLOCKING EXTEND INTO,,OREGON,$0.00,$0.00,$821
2018,1,8600007232,01/02/2018,03:23,,54,,,,14.40.120,NO COM VEH PKG,,EIGHTH,$60.00,$60.00,$0
2018,1,8600007234,01/02/2018,03:25,,54,,,,4000A,EXPIRED REGISTRATION,,EIGHTH,$0.00,$0.00,$163
2018,1,8600007235,01/02/2018,03:30,,54,,,,14.40.120,NO COM VEH PKG,,CEDARWOOD,$90.00,$90.00,$0
2018,1,1805285276,01/02/2018,07:36,01,837,,,,14.40.070A(1),TOW AWAY ZONE 7 TO 9,,ASHBY,$64.00,$64.00,$0
2018,1,1805285280,01/02/2018,07:39,01,837,,,,14.40.070A(1),TOW AWAY ZONE 7 TO 9,,ASHBY,$64.00,$64.00,$0
2018,1,1805285291,01/02/2018,07:42,01,837,,,,14.40.070A(1),TOW AWAY ZONE 7 TO 9,,ASHBY,$64.00,$64.00,$0
2018,1,1806755033,01/02/2018,07:43,01,814,,,,14.44.030,UNAUTH PASSENGER LD,,SAN PABLO,$0.00,$0.00,$57
2018,1,1805285302,01/02/2018,07:56,01,837,,,,5204A(2),EXPIRED TABS READ BA,,SIDE 2300 HASTE,$28.00,$28.00,$0
2018,1,1805285313,01/02/2018,08:04,01,837,,,,5204A(2),EXPIRED TABS READ BA,,ATHERTON,$0.00,$0.00,$465
2018,1,1806755044,01/02/2018,08:08,01,814,,,,14.36.030G,CONSTRUCTION NO PERM,,VIRGINIA,$64.00,$64.00,$0
2018,1,1805285324,01/02/2018,08:09,01,837,,,,5204A(2),EXPIRED TABS READ BA,,CHANNING WAY,$28.00,$28.00,$141
2018,1,1806755055,01/02/2018,08:14,01,814,,,,14.36.030G,CONSTRUCTION NO PERM,,VIRGINIA,$64.00,$64.00,$0
2018,1,1805285335,01/02/2018,08:22,01,837,,,,5204A(2),EXPIRED TABS READ BA,,DURANT,$28.00,$28.00,$352
2018,1,1805285346,01/02/2018,08:26,01,837,,,,5204A(2),EXPIRED TABS READ BA,,DURANT,$28.00,$28.00,$0
2018,1,1806782101,01/02/2018,08:31,01,835,,,,14.40.090,RESTRICTED PARKING,,ACROSS FROM 1945 BERKELEY WAY,$49.00,$49.00,$0
2018,1,1805285350,01/02/2018,08:34,01,837,,,,14.36.030G,CONSTRUCTION NO PERM,,DANA,$64.00,$64.00,$0
2018,1,1806738056,01/02/2018,08:37,01,834,,,,NO VIOL,NO VIOLATION CODE,00,,$0.00,$0.00,$0
2018,1,1805285361,01/02/2018,08:40,01,837,,,,5204A(2),EXPIRED TABS READ BA,,SIDE 2300 HASTE,$28.00,$28.00,$0
2018,1,1805285372,01/02/2018,08:44,01,837,,,,5204A(2),EXPIRED TABS READ BA,,HASTE,$28.00,$28.00,$0
2018,1,1805285383,01/02/2018,08:49,01,837,,,,5204A(2),EXPIRED TABS READ BA,HA2115,HASTE,$28.00,$28.00,$0
2018,1,1806782112,01/02/2018,08:49,01,835,,,,5204A(2),EXPIRED TABS READ BA,,ACROSS FROM 2704 LE CONTE,$28.00,$28.00,$0
2018,1,1806782123,01/02/2018,08:51,01,835,,,,5204A(2),EXPIRED TABS READ BA,,LA LOMA,$28.00,$28.00,$0
2018,1,1805285394,01/02/2018,08:54,01,837,,,,5204A(2),EXPIRED TABS READ BA,,OPPS DURANT,$28.00,$28.00,$0
2018,1,1806782134,01/02/2018,08:56,01,835,,,,5204A(2),EXPIRED TABS READ BA,,SIDE 2500 RIDGE,$10.00,$10.00,$0
2018,1,1806782145,01/02/2018,08:58,01,835,,,,5204A(2),EXPIRED TABS READ BA,,RIDGE,$0.00,$0.00,"$2,382"
2018,1,1805285405,01/02/2018,09:03,01,837,,,,14.36.030F,OBSTRUCTING TRAFFIC,,SIDE 2100 KITTREDGE,$0.00,$0.00,$177
2018,1,1806738060,01/02/2018,09:04,01,834,,,,22500F,PARK ON OR ACROSS SI,,JULIA,$0.00,$0.00,$173
2018,1,1806760261,01/02/2018,09:04,01,836,,,,14.36.030C(1),NO PARKING SIGN POST,,BANCROFT WAY,$64.00,$64.00,$0
2018,1,1806741696,01/02/2018,09:08,01,808,,,,14.36.030D,STREET SWEEPING,,PARKER,$0.00,$0.00,$344
2018,1,1806741700,01/02/2018,09:09,01,808,,,,14.36.030D,STREET SWEEPING,,PARKER,$49.00,$49.00,$0
2018,1,1806741711,01/02/2018,09:10,01,808,,,,14.36.030D,STREET SWEEPING,,PARKER,$49.00,$49.00,$0
2018,1,1806741722,01/02/2018,09:11,01,808,,,,14.36.030D,STREET SWEEPING,,ACROSS FROM 1842 PARKER,$162.00,$162.00,$495
2018,1,1806741733,01/02/2018,09:11,01,808,,,,14.36.030D,STREET SWEEPING,,SIDE 1800 PARKER,$79.00,$79.00,$0
2018,1,1806741744,01/02/2018,09:13,01,808,,,,14.36.030D,STREET SWEEPING,,PARKER,$49.00,$49.00,$0
2018,1,1806782156,01/02/2018,09:13,01,835,,,,5204A(2),EXPIRED TABS READ BA,,NEXT TO 1631 EUCLID,$28.00,$28.00,$0
2018,1,1806741755,01/02/2018,09:14,01,808,,,,14.36.030D,STREET SWEEPING,,PARKER,$49.00,$49.00,$0
2018,1,1806741766,01/02/2018,09:14,01,808,,,,14.36.030D,STREET SWEEPING,,SIDE 1600 PARKER,$0.00,$0.00,$49
2018,1,1806741770,01/02/2018,09:15,01,808,,,,14.36.030D,STREET SWEEPING,,PARKER,$0.00,$0.00,$49
2018,1,1806741781,01/02/2018,09:16,01,808,,,,14.36.030D,STREET SWEEPING,,PARKER,$79.00,$79.00,$0
2018,1,1806782160,01/02/2018,09:17,01,835,,,,14.52.050A,METER TIME EXPIRED,S1541,SHATTUCK,$43.00,$43.00,$0
2018,1,1806741792,01/02/2018,09:18,01,808,,,,14.36.030D,STREET SWEEPING,,SIDE 1500 CARLETON,$49.00,$49.00,$0
2018,1,1806741803,01/02/2018,09:19,01,808,,,,14.36.030D,STREET SWEEPING,,CARLETON,$49.00,$49.00,$0
2018,1,1806782171,01/02/2018,09:19,01,835,,,,14.52.050A,METER TIME EXPIRED,S1531,SHATTUCK,$73.00,$73.00,$0
2018,1,1806741814,01/02/2018,09:20,01,808,,,,14.36.030D,STREET SWEEPING,,NEXT TO 1612 CARLETON,$49.00,$49.00,$0
2018,1,1806741825,01/02/2018,09:20,01,808,,,,14.36.030D,STREET SWEEPING,,CARLETON,$49.00,$49.00,$0
2018,1,1806651525,01/02/2018,09:21,01,819,,,,14.36.050,NOT MOVED FOR 72 CON,,SIDE 2600 TENTH,$90.00,$90.00,$0
2018,1,1806741836,01/02/2018,09:22,01,808,,,,14.36.030D,STREET SWEEPING,,CARLETON,$79.00,$79.00,$0
